ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1679-45082025000100237-scl","Analysis of the distribution of health services in the State of São Paulo: focus on Big Data","Marques, Márcio Alexandre, Maximiano, Caio Fernandes Chaves, Martins, Thiago Gonçalves dos Santos, Nascimento, Augusto Voltaire do","einstein (São Paulo); 23(); -","einstein (São Paulo)","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082025000100237&lang=pt" 
"S0124-59962024000200231-col","REGULACIÓN DE PLATAFORMAS: ANÁLISIS CRÍTICO 2007-2022*","Buquet, Gustavo, Thevenet, Nicolás","Revista de Economía Institucional; 26(51); 231-250","Revista de Economía Institucional","Espanhol","2024","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-59962024000200231&lang=pt" 
"S2306-24952024001200001-cub","Desempeño de la metaheurística Optimización de Mallas Variables en Apache Spark","Fundora Fernández, Ernesto R., Díaz López, Ernesto","Serie Científica de la Universidad de las Ciencias Informáticas; 17(12); 1-17","Serie Científica de la Universidad de las Ciencias Informáticas","Espanhol","2024","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2306-24952024001200001&lang=pt" 
"S2218-36202024000600238-cub","The role of data journalism in the formation of public opinion in the context of the information society","Zahid, VafaIsgandarova","Revista Universidad y Sociedad; 16(6); 238-249","Revista Universidad y Sociedad","Inglês","2024","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202024000600238&lang=pt" 
"S2602-84922024000200153-ecu","Predicción a corto plazo de sistemas de medición inteligentes mediante arquitecturas de aprendizaje profundo multivariable y multipaso","Sánchez, J. A. Lara, Samper, M. E., Colomé, D. G.","Revista Técnica energía; 21(1); 153-164","Revista Técnica energía","Espanhol","2024","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2602-84922024000200153&lang=pt" 
"S2602-80502024000100020-ecu","La innovación en la auditoría, nuevas tendencias y alcance: Una revisión","PESÁNTEZ ESPINOZA, Jheniffer Monserrath, AGUIRRE QUEZADA, Juan Carlos, JIMÉNEZ YUMBLA, Jonnathan Andrés","Economía y Negocios; 15(2); 20-44","Economía y Negocios","Espanhol","2024","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2602-80502024000100020&lang=pt" 
"S2183-95222024000200193-prt","OBSTÁCULOS À EFETIVIDADE DO DIREITO À PRIVACIDADE E À PROTEÇÃO DE DADOS NA ERA DO BIG DATA E DA INTELIGÊNCIA ARTIFICIAL","Ruzzi, Mariana, Marchetto, Patrícia Borba","Revista Internacional CONSINTER de Direito - Publicação Oficial do Conselho Internacional de Estudos Contemporâneos em Pós-Graduação; (19); 193-213","Revista Internacional CONSINTER de Direito - Publicação Oficial do Conselho Internacional de Estudos Contemporâneos em Pós-Graduação","Português","2024","http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S2183-95222024000200193&lang=pt" 
"S1413-23112024000301439-scl","A EVOLUÇÃO DAS TENDÊNCIAS DE PESQUISA EM GESTÃO DA INFORMAÇÃO E GESTÃO DO CONHECIMENTO: UMA ANÁLISE DE 1993 A 2023","Castanha, Rafael Gutierres, Cazane, Ana Lívia","REAd. Revista Eletrônica de Administração (Porto Alegre); 30(3); 1439-1461","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112024000301439&lang=pt" 
"S1646-98952024000300005-prt","Smart Cities e Sustentabilidade: Análise bibliométrica através do VOSviewer","Morais, Elisabete Paulo","RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação; (55); 5-20","RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação","Português","2024","http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S1646-98952024000300005&lang=pt" 
"S2452-610X2024000100103-chl","Estado de Bienestar Digital en Ecuador: Datificación Ciudadana y Machine Learning en la construcción y gestión de la pobreza","Gualavisí, Alexandra Belén","CUHSO (Temuco); 34(1); 103-138","CUHSO (Temuco)","Espanhol","2024","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S2452-610X2024000100103&lang=pt" 
"S2306-24952024000800115-cub","Derecho civil en era digital: impacto de nuevas tecnologías en legislación y práctica jurídica en Ecuador","Rivas Alvarado, Angélica Viviana, Ramírez Cabrera, Homero Abel, Ramírez Cabrera, Andrés Fernando, Jama Coello, Andris Nathalye, Espinoza Soriano, Karla Leonor","Serie Científica de la Universidad de las Ciencias Informáticas; 17(8); 115-131","Serie Científica de la Universidad de las Ciencias Informáticas","Espanhol","2024","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2306-24952024000800115&lang=pt" 
"S1990-86442024000400179-cub","Contadores del siglo XXI: desarrollo de competencias profesionales para la industria 4.0","Aucancela Guagcha, Jessica Paola, Zapata Sánchez, Pedro Enrique, Moreno Narváez, Verónica Paulina","Conrado; 20(99); 179-186","Conrado","Espanhol","2024","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1990-86442024000400179&lang=pt" 
"S0120-30532024000100073-col","El índice Big Mac y su relación con la paridad del poder de compra en el caso colombiano","Chaves Castro, Álvaro Hernando, Perdomo Strauch, Álvaro Andrés, Torres Tamayo, María Constanza","Apuntes del Cenes; 43(77); 73-102","Apuntes del Cenes","Espanhol","2024","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-30532024000100073&lang=pt" 
"S1405-55462024000200489-mex","Mining a Trending Topic: U.S. Immigration on the Context of Social Media","Castillo, Esteban, Cervantes, Ofelia","Computación y Sistemas; 28(2); 489-505","Computación y Sistemas","Inglês","2024","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462024000200489&lang=pt" 
"S1390-86262024000100247-ecu","Psicopolítica y big data como nuevas formas y herramientas para la organización política","Niño Morales, Elkin Eduardo, Cabeza Herrera, Oscar Javier, Flórez Pabón, Campo Elías","Sophia, Colección de Filosofía de la Educación; (36); 247-273","Sophia, Colección de Filosofía de la Educación","Espanhol","2024","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-86262024000100247&lang=pt" 
"S1659-49322024000100103-cri","Explorando los desafíos lógicos en la visualización y análisis de datos en arquitecturas de Big data: un enfoque en falacias, sesgos y paradojas","Zárate-Sánchez, Roberto Antonio","Revista Nacional de Administración; 15(1); 103-115","Revista Nacional de Administración","Espanhol","2024","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-49322024000100103&lang=pt" 
"S2184-77702024000200002-prt","THE END OF TRADITIONAL FOCUS GROUPS? SCALING UP QUALITATIVE RESEARCH QUICK, YET MAINTAINING DEPTH","Anis, Azaleah Mohd, Olisa, Nadia","New Trends in Qualitative Research; 20(1); -","New Trends in Qualitative Research","Português","2024","http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S2184-77702024000200002&lang=pt" 
"S0123-30332024000100001-col","Cardiovascular Risk Prediction through Machine Learning: A Comparative Analysis of Techniques","Arrubla-Hoyos, Wilson, Carrascal-Porras, Fernando, Gómez, Jorge","Ingeniería y competitividad; 26(1); -","Ingeniería y competitividad","Inglês","2024","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332024000100001&lang=pt" 
"S0123-30332024000100023-col","Big data in the business environment: An analysis of its contributions to Competitiveness. A Literature Review","León García, Omar Alexánder, Parra Acero, Lina Fernanda","Ingeniería y competitividad; 26(1); -","Ingeniería y competitividad","Inglês","2024","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332024000100023&lang=pt" 
"S0718-07642024000200011-chl","Impacto de las herramientas tecnológicas en las ventas de empresas chilenas","Romero, José A., la Paz, Ariel, García, Martha J.","Información tecnológica; 35(2); 11-22","Información tecnológica","Espanhol","2024","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642024000200011&lang=pt" 
"S0719-37692024000100147-chl","Relaciones internacionales y política exterior en el liderazgo presidencial digital","Freire Castello, Nicolás, Fuentes, Cristián, Cárdenas, Vanessa","Estudios internacionales (Santiago); 56(207); 147-184","Estudios internacionales (Santiago)","Espanhol","2024","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692024000100147&lang=pt" 
"S1684-09332024000100437-per","Las imágenes como recurso fundamental de la información durante la covid-19 y la fase de vacunación en medios digitales españoles","Peñafiel-Saiz, Carmen, Morales-i-Gras, Jordi, Echegaray-Eizaguirre, Lazaro","Revista de Comunicación; 23(1); 437-456","Revista de Comunicación","Espanhol","2024","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1684-09332024000100437&lang=pt" 
"S0871-018X2024000100301-prt","El uso de drones en el manejo agroecológico de las malas hierbas","Fernández-Quintanilla, César, Dorado, José, Peña, José Manuel","Revista de Ciências Agrárias; 47(1); 301-310","Revista de Ciências Agrárias","Espanhol","2024","http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S0871-018X2024000100301&lang=pt" 
"S0256-95742024000100008-sza","Artificial intelligence (AI) or augmented intelligence? How big data and AI are transforming healthcare: Challenges and opportunities","Moodley, K","SAMJ: South African Medical Journal; 114(1); 16-20","SAMJ: South African Medical Journal","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742024000100008&lang=pt" 
"S2077-18862024000100121-per","The relationship between goodwill and capital structure and the moderating effect of financial market development","Thakur, Oli Ahad, Tunde, Matemilola Bolaji, Noordin, Bany-Ariffin Amin, Alam, Md. Kausar, Prabowo, Muhammad Agung","Journal of Economics, Finance and Administrative Science; 29(57); 121-145","Journal of Economics, Finance and Administrative Science","Inglês","2024","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862024000100121&lang=pt" 
"S1727-37812024000100064-sza","Leveraging Artificial Intelligence to Combat Money Laundering and Related Crimes in the South African Banking Sector","Chitimira, H, Torerai, E, Jana, VLM","Potchefstroom Electronic Law Journal (PELJ); 27(1); 1-30","Potchefstroom Electronic Law Journal (PELJ)","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812024000100064&lang=pt" 
"S1688-42212024000101213-ury","Validación de un modelo de rasgos positivos y negativos de personalidad como predictores del bienestar psicológico aplicando algoritmos de machine learning","Castro Solano, Alejandro, Lupano Perugini, María Laura, Caporiccio Trillo, Micaela Ailén, Cosentino, Alejandro César","Ciencias Psicológicas; 18(1); -","Ciencias Psicológicas","Espanhol, Inglês","2024","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212024000101213&lang=pt" 
"S1677-04712024000200223-psi","Personalidade e sinestesia: estudo de caso com métodos projetivos","Cecco, Pietra Diovanna Saladini de, Scaduto, Alessandro Antonio","Avaliação Psicológica; 23(2); 223-232","Avaliação Psicológica","Português","2024","/scielo.php?script=sci_arttext&pid=S1677-04712024000200223&lang=pt" 
"S2310-87892024000100013-sza","The effect of organisational factors on adopting big data analytics in supply chain operation among companies in Saudi Arabia: The moderating role of resistance to change","Hamed, Adel A., Dandan, Sameer M., Farah, Amira A., Barakat, Shaima A.","Journal of Transport and Supply Chain Management; 18(); 1-12","Journal of Transport and Supply Chain Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2310-87892024000100013&lang=pt" 
"S2310-87892024000100024-sza","Corrigendum: The effect of organisational factors on adopting big data analytics in supply chain operation among companies in Saudi Arabia: The moderating role of resistance to change","Hamed, Adel A., Dandan, Sameer M., Farah, Amira A., Barakat, Shaima A.","Journal of Transport and Supply Chain Management; 18(); 1-1","Journal of Transport and Supply Chain Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2310-87892024000100024&lang=pt" 
"S1560-683X2024000100006-sza","Big Data Analytics for Integrated Infectious Disease Surveillance in sub-Saharan Africa","Achieng, Mourine S., Ogundaini, Oluwamayowa O.","South African Journal of Information Management; 26(1); 1-11","South African Journal of Information Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1560-683X2024000100006&lang=pt" 
"S1560-683X2024000100004-sza","The function of competitive intelligence in South African insurance post-COVID-19 outbreak","Maluleka, Mpho L., Chummun, Bibi Z.","South African Journal of Information Management; 26(1); 1-13","South African Journal of Information Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1560-683X2024000100004&lang=pt" 
"S1560-683X2024000100011-sza","Factors affecting Big Data adoption in a government organisation in the Western Cape","Bruintjies, Andre N., Njenga, James","South African Journal of Information Management; 26(1); 1-11","South African Journal of Information Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1560-683X2024000100011&lang=pt" 
"S1560-683X2024000100024-sza","Structuration theory perspective of Big Data in a typical South African municipality","Kgoale, Modjadji P., Phahlane, Mampilo","South African Journal of Information Management; 26(1); 1-11","South African Journal of Information Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1560-683X2024000100024&lang=pt" 
"S1560-683X2024000100053-sza","Human interaction with structure in designing big data architecture","Nyikana, Wandisa, Iyamu, Tiko","South African Journal of Information Management; 26(1); 1-9","South African Journal of Information Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1560-683X2024000100053&lang=pt" 
"S2078-59762024000100033-sza","Big data analytics effect on competitive performance: Mediating role of business model innovation","Jenkinson, Nandi, Chiba, Manoj D., Mthombeni, Morris, Verachia, Abdullah H.","South African Journal of Business Management; 55(1); 1-15","South African Journal of Business Management","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-59762024000100033&lang=pt" 
"S2077-72132024000200004-sza","Healthcare research and development (R&amp;D) as reflected in digital news: Analysis from Kenya, Nigeria, and South Africa","Ndulue, Emily Boardman, Roberts, Sandra, Abraham, Praise","The African Journal of Information and Communication; 34(); 1-28","The African Journal of Information and Communication","Inglês","2024","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2077-72132024000200004&lang=pt" 
"S0718-27242024000200054-chl","Colombian Agricultural Sector’s Early Estimator of Gross Domestic Production Using Nowcasting and Big Data Methods","Bravo Higuera, Diego Fernando, Parra Bernal, León Darío, Argote Cusi, Milenka Linneth, Torres Pineda, Grace Andrea","Journal of technology management &amp; innovation; 19(2); 54-66","Journal of technology management &amp; innovation","Inglês","2024","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242024000200054&lang=pt" 
"S1020-49892024000100815-spa","Data for population-based health analytics: the Cohorts Consortium of Latin America and the Caribbean","Carrillo-Larco, Rodrigo M., Hambleton, Ian R.","Revista Panamericana de Salud Pública; 48(); -","Revista Panamericana de Salud Pública","Inglês","2024","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892024000100815&lang=pt" 
"S1020-49892024000100905-spa","Islands of data: cultivating an open data landscape for sustainable development in the Caribbean","Hambleton, Ian R., Jeyaseelan, Selvi","Revista Panamericana de Salud Pública; 48(); -","Revista Panamericana de Salud Pública","Inglês","2024","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892024000100905&lang=pt" 
"S0034-89102024000100215-spa","Big Data-Planetary Health approach for evaluating the Brazilian Dengue Control Program","Xavier, Fernando, Barbosa, Gerson Laurindo, Marques, Cristiano Corrêa de Azevedo, Saraiva, Antonio Mauro","Revista de Saúde Pública; 58(); -","Revista de Saúde Pública","Português, Inglês","2024","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102024000100215&lang=pt" 
